;;Winner Rank Points;prev_rank;perc;;;
2019;Hernan Casanova;192;631;-69.57%;;;
2019;Heydi Doldan;0;0;(null);;;
2019;Hili Kronzon;0;(null);(null);;;
2019;Himari Sato;12;(null);(null);;;
2019;Himeno Sakatsume;66;51;29.41%;;;
2019;Hiroki Moriya;5045;7557;-33.24%;;;
2019;Hiroko Kuwata;3556;4794;-25.82%;;;
2019;Hiromi Abe;42;0;(null);;;
2019;Ho Ching Wu;376;383;-1.83%;;;
2019;Holger Rune;9;0;(null);;;
2019;Holly Staff;0;(null);(null);;;
2019;Holly Verner;0;(null);(null);;;
2019;Hong Yi Cody Wong;0;0;(null);;;
2019;Honoka Kobayashi;40;(null);(null);;;
2019;Honoka Uchiyama;0;(null);(null);;;
2019;Hua Chen Lee;556;1888;-70.55%;;;
2019;Hubert Hurkacz;32582;21185;53.80%;;;
2019;Hugo Dellien;31194;14999;107.97%;;;
2019;Hugo Gaston;558;(null);(null);;;
2019;Hugo Grenier;1135;2593;-56.23%;;;
2019;Hugo Nys;501;35;1331.43%;;;
2019;Humera Begum Shaik;4;(null);(null);;;
2019;Hurricane Tyra Black;69;0;(null);;;
2019;Hwui Won Wi;4;0;(null);;;
2019;Hyeon Chung;6090;40992;-85.14%;;;
2019;Hyeran Yun;0;(null);(null);;;
2019;Hyojung Yea;0;0;(null);;;
2019;I Hsuan Cho;12;3;300.00%;;;
2019;Iana Tishchenko;0;0;(null);;;
2019;Ida Jarlskog;56;96;-41.67%;;;
2019;Iga Swiatek;13672;2446;458.95%;;;
2019;Igor Sijsling;20;1207;-98.34%;;;
2019;Ikumi Yamazaki;0;0;(null);;;
2019;Ilaria Sposetti;0;0;(null);;;
2019;Ilay Yoruk;45;257;-82.49%;;;
2019;Ilayda Baykan;0;(null);(null);;;
2019;Ilinca Dalina Amariei;0;(null);(null);;;
2019;Illya Marchenko;2882;145;1887.59%;;;
2019;Ilona Kremen;185;116;59.48%;;;
2019;Ilya Ivashka;12307;19117;-35.62%;;;
2019;Indy De Vroome;3624;0;(null);;;
2019;Ine Soltveit Stange;0;(null);(null);;;
2019;Ines Ibbou;162;329;-50.76%;;;
2019;Ines Murta;442;398;11.06%;;;
2019;Ines Nicault;23;(null);(null);;;
2019;Ingrid Gamarra Martins;295;(null);(null);;;
2019;Ingrid Neel;153;148;3.38%;;;
2019;Ingrid Vojcinakova;5;0;(null);;;
2019;Inigo Cervantes Huegun;76;574;-86.76%;;;
2019;Ioana Gaspar;947;824;14.93%;;;
2019;Ioana Loredana Rosca;1943;609;219.05%;;;
2019;Ioana Zvonaru;0;(null);(null);;;
2019;Ipek Oz;961;749;28.30%;;;
2019;Ipek Soylu;2660;1548;71.83%;;;
2019;Irene Burillo Escorihuela;1733;2108;-17.79%;;;
2019;Irene Lavino;24;(null);(null);;;
2019;Irina Camelia Begu;11464;18607;-38.39%;;;
2019;Irina Cantos Siemers;0;24;-100.00%;;;
2019;Irina Falconi;140;3974;-96.48%;;;
2019;Irina Fetecau;2482;2367;4.86%;;;
2019;Irina Khromacheva;2015;7218;-72.08%;;;
2019;Irina Maria Bara;8494;8160;4.09%;;;
2019;Irina Ramialison;754;2626;-71.29%;;;
2019;Iris Julia Antje Verweij;0;(null);(null);;;
2019;Iryna Shymanovich;634;937;-32.34%;;;
2019;Irys Ekani;0;41;-100.00%;;;
2019;Isabel Adrover Gallego;9;0;(null);;;
2019;Isabella Bolivar Garces;0;0;(null);;;
2019;Isabella Bozicevic;3;(null);(null);;;
2019;Isabella Harvison;0;(null);(null);;;
2019;Isabella Shinikova;7316;7151;2.31%;;;
2019;Isabelle Haverlag;0;0;(null);;;
2019;Isabelle Wallace;649;1276;-49.14%;;;
2019;Iuliia Nikitina;0;(null);(null);;;
2019;Iva Primorac;568;138;311.59%;;;
2019;Ivan Gakhov;987;2099;-52.98%;;;
2019;Ivan Nedelko;861;880;-2.16%;;;
2019;Ivana Jorovic;9559;10702;-10.68%;;;
2019;Ivana Klepic;0;128;-100.00%;;;
2019;Ivana Popovic;322;35;820.00%;;;
2019;Ivana Sebestova;20;0;(null);;;
2019;Ivania Martinich;88;121;-27.27%;;;
2019;Iveta Dapkute;81;(null);(null);;;
2019;Iveta Daujotaite;0;(null);(null);;;
2019;Ivo Karlovic;11204;16299;-31.26%;;;
2019;Ivonne Cavalle Reimers;1263;1474;-14.31%;;;
2019;Ivonne Juric;0;(null);(null);;;
2019;Izabela Gabriela Novac;16;0;(null);;;
2019;J.J. Wolf;3273;754;334.08%;;;
2019;Jack Draper;475;(null);(null);;;
2019;Jacob Dunbar;30;(null);(null);;;
2019;Jacob Grills;517;1003;-48.45%;;;
2019;Jacopo Berrettini;144;184;-21.74%;;;
2019;Jacqueline Cabaj Awad;974;1166;-16.47%;;;
2019;Jacqueline Cako;413;1345;-69.29%;;;
2019;Jacquline Nylander Altelius;0;(null);(null);;;
2019;Jada Bui;30;0;(null);;;
2019;Jada Hart;0;(null);(null);;;
2019;Jada Robinson;20;53;-62.26%;;;
2019;Jade Suvrijn;709;652;8.74%;;;
2019;Jaedan Brown;0;(null);(null);;;
2019;Jaimee Fourlis;2709;4472;-39.42%;;;
2019;Jaleesa Leslie;0;(null);(null);;;
2019;James Duckworth;18242;1567;1064.14%;;;
2019;James Frawley;0;8;-100.00%;;;
2019;James Ibrahim;6;0;(null);;;
2019;James Trotter;3;(null);(null);;;
2019;James Ward;3533;3296;7.19%;;;
2019;Jamie Loeb;2518;7249;-65.26%;;;
2019;Jamilah Snells;0;(null);(null);;;
2019;Jan Choinski;3976;3405;16.77%;;;
2019;Jan Lennard Struff;37610;24163;55.65%;;;
2019;Jan Satral;474;2817;-83.17%;;;
2019;Jana Bojovic;9;0;(null);;;
2019;Jana Cepelova;5714;8195;-30.27%;;;
2019;Jana Fett;3209;5453;-41.15%;;;
2019;Jana Jablonovska;30;133;-77.44%;;;
2019;Jana Kolodynska;0;0;(null);;;
2019;Jane Wasserson;3;(null);(null);;;
2019;Janko Tipsarevic;845;(null);(null);;;
2019;Jannik Sinner;10910;23;47334.78%;;;
2019;Jantje Tilbuerger;54;0;(null);;;
2019;Jaqueline Adina Cristian;6235;5067;23.05%;;;
2019;Jared Donaldson;270;14042;-98.08%;;;
2019;Jared Hiltzik;399;2120;-81.18%;;;
2019;Jaroslav Pospisil;100;45;122.22%;;;
2019;Jasmin Jebawy;81;0;(null);;;
2019;Jasmine Amber Asghar;0;(null);(null);;;
2019;Jasmine Paolini;16213;8455;91.76%;;;
2019;Jason Jung;15768;15858;-0.57%;;;
2019;Jason Kubler;3505;14479;-75.79%;;;
2019;Jaume Munar;22564;18451;22.29%;;;
2019;Jaume Pla Malfeito;102;61;67.21%;;;
2019;Javier Barranco Cosano;1049;402;160.95%;;;
2019;Javier Marti;6;216;-97.22%;;;
2019;Jawairiah Noordin;0;(null);(null);;;
2019;Jay Clarke;6714;5840;14.97%;;;
2019;Jazmin Ortenzi;349;80;336.25%;;;
2019;Jc Aragone;4028;4038;-0.25%;;;
2019;Jea Moon Lee;0;12;-100.00%;;;
2019;Jelena Lukic;0;0;(null);;;
2019;Jelena Ostapenko;25580;42797;-40.23%;;;
2019;Jelena Simic;0;812;-100.00%;;;
2019;Jelena Stojanovic;8;298;-97.32%;;;
2019;Jelle Sels;2418;3245;-25.49%;;;
2019;Jennifer Brady;22259;11013;102.12%;;;
2019;Jennifer Elie;2130;758;181.00%;;;
2019;Jennifer Luikham;76;20;280.00%;;;
2019;Jennifer Rosa Dourado;0;(null);(null);;;
2019;Jenny Duerst;128;0;(null);;;
2019;Jenson Brooksby;252;9;2700.00%;;;
2019;Jeremy Beale;0;66;-100.00%;;;
2019;Jeremy Chardy;25845;27835;-7.15%;;;
2019;Jeremy Jahn;1196;2401;-50.19%;;;
2019;Jeroen Vanneste;544;197;176.14%;;;
2019;Jerricka Boone;0;(null);(null);;;
2019;Jesika Maleckova;2317;4088;-43.32%;;;
2019;Jesper De Jong;0;(null);(null);;;
2019;Jessica Bertoldo;0;0;(null);;;
2019;Jessica Bouzas Maneiro;0;(null);(null);;;
2019;Jessica Failla;48;12;300.00%;;;
2019;Jessica Fowler;0;(null);(null);;;
2019;Jessica Hinojosa Gomez;0;(null);(null);;;
2019;Jessica Ho;502;449;11.80%;;;
2019;Jessica Livianu;24;(null);(null);;;
2019;Jessica Pegula;9799;7522;30.27%;;;
2019;Jessica Pieri;3325;3006;10.61%;;;
2019;Jessica Plazas;106;0;(null);;;
2019;Jessika Ponchet;7029;6263;12.23%;;;
2019;Jessy Rompies;61;(null);(null);;;
2019;Ji Hee Choi;470;460;2.17%;;;
2019;Ji Sung Nam;2696;476;466.39%;;;
2019;Jia Jing Lu;11291;10069;12.14%;;;
2019;Jia Qi Kang;322;280;15.00%;;;
2019;Jiahui Chen;21;(null);(null);;;
2019;Jiangxue Han;59;(null);(null);;;
2019;Jiaqi Duan;0;(null);(null);;;
2019;Jiaxi Lu;690;180;283.33%;;;
2019;Jiaying He;0;0;(null);;;
2019;Jie Cui;103;9;1044.44%;;;
2019;Jiho Shin;0;(null);(null);;;
2019;Jil Belen Teichmann;17599;8114;116.90%;;;
2019;Jin Ju Lee;0;0;(null);;;
2019;Jing Jing Lu;1233;4476;-72.45%;;;
2019;Jiri Lehecka;22;(null);(null);;;
2019;Jiri Vesely;19042;18180;4.74%;;;
2019;Joana Eidukonyte;9;10;-10.00%;;;
2019;Joanna Garland;65;156;-58.33%;;;
2019;Joanna Zawadzka;47;103;-54.37%;;;
2019;Joanne Zuger;305;42;626.19%;;;
2019;Joao Domingues;6700;6395;4.77%;;;
2019;Joao Menezes;3822;2078;83.93%;;;
2019;Joao Pedro Sorgi;3;835;-99.64%;;;
2019;Joao Sousa;26491;26040;1.73%;;;
2019;Joao Souza;137;2483;-94.48%;;;
2019;Jocelijn Cavero Roeper;0;(null);(null);;;
2019;Jodie Anna Burrage;2801;1142;145.27%;;;
2019;Joelle Kissell;123;38;223.68%;;;
2019;Johan Sebastien Tatlot;1890;3529;-46.44%;;;
2019;Johana Markova;1547;886;74.60%;;;
2019;Johanna Konta;27140;37652;-27.92%;;;
2019;Johanna Larsson;3674;16415;-77.62%;;;
2019;Johannes Haerteis;1303;598;117.89%;;;
2019;John Bryan Decasa Otico;0;0;(null);;;
2019;John Isner;78620;100710;-21.93%;;;
2019;John Mcnally;92;6;1433.33%;;;
2019;John Millman;25789;26201;-1.57%;;;
2019;John Patrick Smith;2674;7402;-63.87%;;;
2019;Jonas Forejtek;187;(null);(null);;;
2019;Jonathan Eysseric;0;41;-100.00%;;;
2019;Jonathan Mridha;117;80;46.25%;;;
2019;Jordan Thompson;24628;31669;-22.23%;;;
2019;Jordi Arconada;23;(null);(null);;;
2019;Jose Hernandez;3568;5402;-33.95%;;;
2019;Jose Rubin Statham;56;2995;-98.13%;;;
2019;Josephine Boualem;35;276;-87.32%;;;
2019;Joshua Peck;0;(null);(null);;;
2019;Jovana Babic;0;(null);(null);;;
2019;Jovana Jaksic;6258;3106;101.48%;;;
2019;Jovana Peric;0;(null);(null);;;
2019;Jo-Wilfried Tsonga;31216;10080;209.68%;;;
2019;Jozef Kovalik;7971;13780;-42.16%;;;
2019;Juan Ignacio Londero;22657;15565;45.56%;;;
2019;Juan Manuel Cerundolo;256;(null);(null);;;
2019;Juan Martin del Potro;28810;207230;-86.10%;;;
2019;Juan Pablo Ficovich;2086;1870;11.55%;;;
2019;Juan Pablo Varillas;4699;2275;106.55%;;;
2019;Juana Larranaga;0;(null);(null);;;
2019;Judith Muraa;0;(null);(null);;;
2019;Jule Niemeier;1458;462;215.58%;;;
2019;Jules Okala;194;519;-62.62%;;;
2019;Julia Elbaba;41;633;-93.52%;;;
2019;Julia Glushko;3874;9684;-60.00%;;;
2019;Julia Goerges;32200;123130;-73.85%;;;
2019;Julia Grabher;6446;6467;-0.32%;;;
2019;Julia Helbet;0;0;(null);;;
2019;Julia Keranovic;0;(null);(null);;;
2019;Julia Kimmelmann;25;0;(null);;;
2019;Julia Klimovicz;0;(null);(null);;;
2019;Julia Konishi Camargo Silva;0;(null);(null);;;
2019;Julia Lovqvist;0;0;(null);;;
2019;Julia Mikulski;0;(null);(null);;;
2019;Julia Oczachowska;6;0;(null);;;
2019;Julia Payola;346;312;10.90%;;;
2019;Julia Riera;12;0;(null);;;
2019;Julia Ronney;0;(null);(null);;;
2019;Julia Rosenquist;7;75;-90.67%;;;
2019;Julia Stamatova;586;1612;-63.65%;;;
2019;Julia Terziyska;696;1662;-58.12%;;;
2019;Julia Valetova;0;(null);(null);;;
2019;Julia Wachaczyk;377;265;42.26%;;;
2019;Julian Lenz;2775;854;224.94%;;;
2019;Julian Ocleppo;456;7;6414.29%;;;
2019;Juliana Carton;0;(null);(null);;;
2019;Juliane Triebe;0;0;(null);;;
2019;Julie Belgraver;0;(null);(null);;;
2019;Julie Gervais;2093;1176;77.98%;;;
2019;Julieta Lara Estable;163;114;42.98%;;;
2019;Juliette Daries;0;(null);(null);;;
2019;Juline Fayard;0;(null);(null);;;
2019;Julita Saner;17;28;-39.29%;;;
2019;Julyette Maria Josephine Steur;1926;1118;72.27%;;;
2019;Jumpei Yamasaki;256;172;48.84%;;;
2019;Junri Namigata;2427;6061;-59.96%;;;
2019;Junsai Wang;0;(null);(null);;;
2019;Jurabek Karimov;14;314;-95.54%;;;
2019;Jurgen Melzer;133;473;-71.88%;;;
2019;Jurgen Zopp;2336;12473;-81.27%;;;
2019;Jurij Rodionov;3089;5156;-40.09%;;;
2019;Justin Boulais;7;4;75.00%;;;
2019;Justina Mikulskyte;400;0;(null);;;
2019;Justine Pysson;0;156;-100.00%;;;
2019;Justyna Malatinska;0;0;(null);;;
2019;Jwany Sherif;0;(null);(null);;;
2019;Kaaviya Balasubramanian;0;(null);(null);;;
2019;Kacper Zuk;78;(null);(null);;;
2019;Kai Breitbach;0;(null);(null);;;
2019;Kai Chen Chang;1153;1185;-2.70%;;;
2019;Kai Lin Zhang;3581;8144;-56.03%;;;
2019;Kaia Kanepi;11348;15831;-28.32%;;;
2019;Kaichi Uchida;4217;3450;22.23%;;;
2019;Kaito Uesugi;0;64;-100.00%;;;
2019;Kaja Juvan;8840;5291;67.08%;;;
2019;Kajsa Rinaldo Persson;10;23;-56.52%;;;
2019;Kamil Majchrzak;18640;10587;76.06%;;;
2019;Kamila Kerimbayeva;0;(null);(null);;;
2019;Kamilla Rakhimova;3386;94;3502.13%;;;
2019;Kamonwan Buayam;0;(null);(null);;;
2019;Kanako Morisaki;375;93;303.23%;;;
2019;Kanako Osafune;0;(null);(null);;;
2019;Karen Barbat;0;303;-100.00%;;;
2019;Karen Esther Contreras;0;(null);(null);;;
2019;Karen Khachanov;84035;59540;41.14%;;;
2019;Karen Marthiens;0;(null);(null);;;
2019;Karim Mohamed Maamoun;310;1098;-71.77%;;;
2019;Karin Kennel;1034;789;31.05%;;;
2019;Karin Terami;0;(null);(null);;;
2019;Karina Miller;0;(null);(null);;;
2019;Karla Portalatin;0;(null);(null);;;
2019;Karman Thandi;476;9033;-94.73%;;;
2019;Karol Drzewiecki;12;7;71.43%;;;
2019;Karola Patricia Bejenaru;68;245;-72.24%;;;
2019;Karolayne Alexandre Da Rosa;26;4;550.00%;;;
2019;Karolina Berankova;125;159;-21.38%;;;
2019;Karolina Jaskiewicz;0;(null);(null);;;
2019;Karolina Kubanova;76;29;162.07%;;;
2019;Karolina Muchova;17562;4188;319.34%;;;
2019;Karolina Pliskova;96426;99000;-2.60%;;;
2019;Karolina Vlckova;0;0;(null);;;
2019;Katarina Jokic;0;(null);(null);;;
2019;Katarina Kostic;0;0;(null);;;
2019;Katarina Kozarov;0;(null);(null);;;
2019;Katarina Kuzmova;11;0;(null);;;
2019;Katarina Zavatska;11794;7900;49.29%;;;
2019;Katarzyna Kawa;7463;3036;145.82%;;;
2019;Katarzyna Pitak;4;12;-66.67%;;;
2019;Katarzyna Piter;3516;3237;8.62%;;;
2019;Katerina Krizova;0;7;-100.00%;;;
2019;Katerina Siniakova;20423;25672;-20.45%;;;
2019;Katerina Stewart;1072;2471;-56.62%;;;
2019;Katerina Tsygourova;0;0;(null);;;
2019;Kateryna Bondarenko;0;11355;-100.00%;;;
2019;Kateryna Kozlova;12211;14246;-14.28%;;;
2019;Katharina Gerlach;4535;1651;174.68%;;;
2019;Katharina Hering;206;266;-22.56%;;;
2019;Katharina Hobgarski;5204;7771;-33.03%;;;
2019;Katharine Fahey;215;0;(null);;;
2019;Katherine Sebov;3679;5297;-30.55%;;;
2019;Kathinka Von Deichmann;5236;9564;-45.25%;;;
2019;Kathleen Kanev;39;0;(null);;;
2019;Katie Boulter;5632;12860;-56.21%;;;
2019;Katie Swan;4080;7158;-43.00%;;;
2019;Katie Volynets;726;120;505.00%;;;
2019;Katriin Saar;44;0;(null);;;
2019;Katrina Scott;27;0;(null);;;
2019;Katsiaryna Skachkova;36;0;(null);;;
2019;Katy Dunne;1859;5917;-68.58%;;;
2019;Katya Malikova;0;(null);(null);;;
2019;Katya Ramirez;0;(null);(null);;;
2019;Katya Townsend;4;(null);(null);;;
2019;Katyarina Paulenka;53;152;-65.13%;;;
2019;Kayla Day;795;1194;-33.42%;;;
2019;Kaylah Mcphee;2956;1747;69.20%;;;
2019;Kaza Vinayak Sharma;2;16;-87.50%;;;
2019;Kazuki Nishiwaki;31;(null);(null);;;
2019;Keegan Smith;22;2;1000.00%;;;
2019;Kei Kato;0;(null);(null);;;
2019;Kei Nishikori;97860;108715;-9.98%;;;
2019;Keira Jirasook;0;(null);(null);;;
2019;Kelia Le Bihan;31;0;(null);;;
2019;Kelly Chen;12;20;-40.00%;;;
2019;Kelly Williford;20;11;81.82%;;;
2019;Kennedy Shaffer;249;93;167.74%;;;
2019;Kenny De Schepper;931;8812;-89.43%;;;
2019;Kento Takeuchi;36;(null);(null);;;
2019;Kerrie Cartwright;0;73;-100.00%;;;
2019;Kerstin Peckl;0;0;(null);;;
2019;Kevin Anderson;27940;187170;-85.07%;;;
2019;Kevin King;1506;5743;-73.78%;;;
2019;Kevin Krawietz;621;5824;-89.34%;;;
2019;Khumoun Sultanov;874;710;23.10%;;;
2019;Kiki Bertens;125890;58953;113.54%;;;
2019;Kimberley Zimmermann;2885;4738;-39.11%;;;
2019;Kimberly Birrell;584;2067;-71.75%;;;
2019;Kimberly Mpukusa;0;(null);(null);;;
2019;Kimmer Coppejans;10601;6760;56.82%;;;
2019;Kimmi Hance;13;(null);(null);;;
2019;Kirill Kivattsev;10;136;-92.65%;;;
2019;Kirsten Andrea Weedon;226;606;-62.71%;;;
2019;Kirsten Flipkens;13420;19839;-32.36%;;;
2019;Klara Hajkova;0;(null);(null);;;
2019;Klara Milicevic;0;0;(null);;;
2019;Klara Ondrejcekova;0;0;(null);;;
2019;Konstantin Kravchuk;854;736;16.03%;;;
2019;Kooros Ghasemi;0;(null);(null);;;
2019;Koral Koldobski;0;0;(null);;;
2019;Kotomi Takahata;80;33;142.42%;;;
2019;Kristie Ahn;8466;6729;25.81%;;;
2019;Kristin Yordanova;0;(null);(null);;;
2019;Kristin Younes;12;0;(null);;;
2019;Kristina Kucova;5160;2927;76.29%;;;
2019;Kristina Mladenovic;22082;25894;-14.72%;;;
2019;Kristina Novak;6;40;-85.00%;;;
2019;Kristyna Hrabalova;15;0;(null);;;
2019;Kristyna Pliskova;14723;17724;-16.93%;;;
2019;Ksenia Kolesnikova;3;0;(null);;;
2019;Ksenia Laskutova;224;172;30.23%;;;
2019;Ksenia Palkina;473;1134;-58.29%;;;
2019;Kseniya Yersh;4;0;(null);;;
2019;Kuan Yi Lee;0;58;-100.00%;;;
2019;Kurumi Nara;11181;15342;-27.12%;;;
2019;Kwan Yau Ng;39;76;-48.68%;;;
2019;Kyle Edmund;28035;64250;-56.37%;;;
2019;Kyle Seelig;8;0;(null);;;
2019;Kylie Collins;0;(null);(null);;;
2019;Kylie Mckenzie;0;(null);(null);;;
2019;Kyoka Okamura;4224;1391;203.67%;;;
2019;Laetitia Pulchartova;52;4;1200.00%;;;
2019;Laia Conde Monfort;0;0;(null);;;
2019;Laia Petretic;0;(null);(null);;;
2019;Lamine Ouahab;20;141;-85.82%;;;
2019;Lamis Alhussein Abdel Aziz;622;372;67.20%;;;
2019;Lana Kentchiashvili;0;0;(null);;;
2019;Lana Sipek;7;3;133.33%;;;
2019;Lara Arruabarrena;7336;6939;5.72%;;;
2019;Lara Escauriza;14;36;-61.11%;;;
2019;Lara Michel;13;74;-82.43%;;;
2019;Lara Panfilov;26;0;(null);;;
2019;Lara Rosario De Faveri;0;(null);(null);;;
2019;Lara Salden;1708;1112;53.60%;;;
2019;Lara Schmidt;130;23;465.22%;;;
2019;Larisa Bekmetova;0;(null);(null);;;
2019;Laslo Djere;22322;19402;15.05%;;;
2019;Laura Ashley;0;(null);(null);;;
2019;Laura Bente;0;(null);(null);;;
2019;Laura Hietaranta;0;(null);(null);;;
2019;Laura Ioana Andrei;6498;1535;323.32%;;;
2019;Laura Maluniakova;18;0;(null);;;
2019;Laura Pigossi;1532;674;127.30%;;;
2019;Laura Robson;63;2173;-97.10%;;;
2019;Laura Schaeder;1082;809;33.75%;;;
2019;Laura Siegemund;17419;9744;78.77%;;;
2019;Laura Svatikova;21;(null);(null);;;
2019;Laure Line Glaude;0;(null);(null);;;
2019;Lauren Cooper;0;(null);(null);;;
2019;Lauren Davis;15118;3438;339.73%;;;
2019;Lauren Proctor;50;0;(null);;;
2019;Laurent Lokoli;386;138;179.71%;;;
2019;Laurynas Grigelis;1214;5781;-79.00%;;;
2019;Layne Sleeth;106;10;960.00%;;;
2019;Lea Boskovic;2122;1414;50.07%;;;
2019;Lea Ma;0;(null);(null);;;
2019;Lea Tholey;124;109;13.76%;;;
2019;Lee Barnard;0;(null);(null);;;
2019;Lena Greiner;0;(null);(null);;;
2019;Lena Lutzeier;0;(null);(null);;;
2019;Lena Ruppert;0;9;-100.00%;;;
2019;Lenka Stara;3;(null);(null);;;
2019;Leolia Jeanjean;0;(null);(null);;;
2019;Leonardo Mayer;17791;23473;-24.21%;;;
2019;Leonie Kung;2138;1555;37.49%;;;
2019;Lesia Tsurenko;12574;15470;-18.72%;;;
2019;Lesley Kerkhove;11762;6160;90.94%;;;
2019;Leslie Espinoza;0;(null);(null);;;
2019;Lexie Stevens;396;0;(null);;;
2019;Lexie Weir;0;(null);(null);;;
2019;Leyden Games;0;(null);(null);;;
2019;Leylah Annie Fernandez;2440;171;1326.90%;;;
2019;Lia Karatancheva;0;(null);(null);;;
2019;Liam Broady;3624;4821;-24.83%;;;
2019;Liam Caruana;220;1216;-81.91%;;;
2019;Liam Draxl;9;1;800.00%;;;
2019;Lian Tran;26;(null);(null);;;
2019;Lidia Moreno Arias;0;0;(null);;;
2019;Likhitha Kalava;9;0;(null);;;
2019;Lilian Poling;0;(null);(null);;;
2019;Lillian Gabrielsen;0;(null);(null);;;
2019;Lilly Elida Haseth;23;0;(null);;;
2019;Lin Zhu;29275;13347;119.34%;;;
2019;Lina Gjorcheska;3068;689;345.28%;;;
2019;Lina Glushko;317;196;61.73%;;;
2019;Linda Noskova;0;(null);(null);;;
2019;Linda Prenkovic;0;0;(null);;;
2019;Linda Sevcikova;0;(null);(null);;;
2019;Ling Zhang;619;2134;-70.99%;;;
2019;Linnea Malmqvist;472;416;13.46%;;;
2019;Lisa Maria Moser;0;0;(null);;;
2019;Lisa Marie Rioux;30;31;-3.23%;;;
2019;Lisa Matviyenko;613;1392;-55.96%;;;
2019;Lisa Mays;3;4;-25.00%;;;
2019;Lisa Pigato;150;0;(null);;;
2019;Lisa Ponomar;210;384;-45.31%;;;
2019;Lisa Sabino;1082;2027;-46.62%;;;
2019;Lissi Kubre;0;(null);(null);;;
2019;Lizette Cabrera;6493;5856;10.88%;;;
2019;Lloyd Glasspool;528;796;-33.67%;;;
2019;Lloyd Harris;20262;14454;40.18%;;;
2019;Lola Mireille Glantz;0;(null);(null);;;
2019;Lorelyz Marruffo;0;(null);(null);;;
2019;Lorenzo Giustino;11094;5839;90.00%;;;
2019;Lorenzo Musetti;670;(null);(null);;;
2019;Lorenzo Sonego;29483;16059;83.59%;;;
2019;Lorraine M Guillermo;388;378;2.65%;;;
2019;Lou Adler;539;950;-43.26%;;;
2019;Lou Brouleau;1845;357;416.81%;;;
2019;Loudmilla Bencheikh;257;0;(null);;;
2019;Louis Wessels;398;120;231.67%;;;
2019;Louisa Chirico;2383;1038;129.58%;;;
2019;Louise Brunskog;20;6;233.33%;;;
2019;Louise Kwong;30;(null);(null);;;
2019;Louise Lampla;0;14;-100.00%;;;
2019;Luca Castelnuovo;89;(null);(null);;;
2019;Luca Giacomini;20;232;-91.38%;;;
2019;Luca Margaroli;0;104;-100.00%;;;
2019;Luca Vanni;2780;7850;-64.59%;;;
2019;Lucas Catarina;71;718;-90.11%;;;
2019;Lucas Gerch;219;130;68.46%;;;
2019;Lucas Gomez;56;200;-72.00%;;;
2019;Lucas Miedler;5452;3675;48.35%;;;
2019;Lucas Pouille;35020;53195;-34.17%;;;
2019;Lucas Renard;2;6;-66.67%;;;
2019;Lucas Vuradin;0;21;-100.00%;;;
2019;Lucia Bronzetti;2027;971;108.75%;;;
2019;Lucia Cortez Llorca;97;181;-46.41%;;;
2019;Lucia Zelenka;0;0;(null);;;
2019;Lucianna Piedra;0;(null);(null);;;
2019;Lucie Hradecka;2041;249;719.68%;;;
2019;Lucie Petruzelova;4;(null);(null);;;
2019;Lucie Wargnier;461;56;723.21%;;;
2019;Lucrezia Stefanini;1816;1981;-8.33%;;;
2019;Ludmila Kareisova;0;0;(null);;;
2019;Ludmilla Samsonova;9453;5264;79.58%;;;
2019;Luisa Stefani;578;164;252.44%;;;
2019;Lukas Klein;764;574;33.10%;;;
2019;Lukas Lacko;8690;13564;-35.93%;;;
2019;Lukas Rosol;12160;10376;17.19%;;;
2019;Luke Johnson;23;(null);(null);;;
2019;Luke Saville;2242;2155;4.04%;;;
2019;Luksika Kumkhum;606;26390;-97.70%;;;
2019;Lulu Radovcic;490;78;528.21%;;;
2019;Luna Meers;3;24;-87.50%;;;
2019;Lunda Kumhom;0;(null);(null);;;
2019;Lyuboslava Peruhova;0;0;(null);;;
2019;Lyubov Kostenko;0;0;(null);;;
2019;Mackenzie Clark;0;(null);(null);;;
2019;Mackenzie McDonald;13024;16662;-21.83%;;;
2019;Maddison Inglis;11504;1079;966.17%;;;
2019;Madeleine Kobelt;28;55;-49.09%;;;
2019;Madison Appel;0;(null);(null);;;
2019;Madison Bourguignon;3;13;-76.92%;;;
2019;Madison Brengle;18958;17293;9.63%;;;
2019;Madison Frahn;0;(null);(null);;;
2019;Madison Keys;39104;21240;84.11%;;;
2019;Madison Westby;10;14;-28.57%;;;
2019;Maegan Manasse;644;220;192.73%;;;
2019;Maelys Bougrat;0;0;(null);;;
2019;Magali Kempen;350;0;(null);;;
2019;Magda Linette;30437;19438;56.59%;;;
2019;Magdalena Cordero;0;(null);(null);;;
2019;Magdalena Frech;8047;8505;-5.39%;;;
2019;Magdalena Pantuckova;679;2710;-74.94%;;;
2019;Magdalena Rybarikova;6211;25636;-75.77%;;;
2019;Magdalena Stoilkovska;0;(null);(null);;;
2019;Mahak Jain;330;325;1.54%;;;
2019;Mai Hontama;1405;799;75.84%;;;
2019;Mai Minokoshi;812;4695;-82.71%;;;
2019;Maia Lumsden;2686;1528;75.79%;;;
2019;Maileen Nuudi;0;0;(null);;;
2019;Maja Chwalinska;2008;821;144.58%;;;
2019;Makenna Jones;0;(null);(null);;;
2019;Makoto Ninomiya;0;226;-100.00%;;;
2019;Makoto Ochi;440;1118;-60.64%;;;
2019;Malek Jaziri;6983;29408;-76.25%;;;
2019;Malene Helgo;553;588;-5.95%;;;
